politicalparty,income,educ,abortion,republican
Republican,2152,9,0,1
Republican,906,6,0,1
Democrat,1373,6,0,0
Democrat,1941,4,0,0
Democrat,355,7,0,0
Democrat,897,11,0,0
Republican,2245,9,0,1
Republican,1,9,0,1
Republican,762,3,0,1
Democrat,2315,9,0,0
Republican,1936,9,0,1
Republican,799,8,0,1
Democrat,1554,4,0,0
Democrat,105,7,0,0
Democrat,1619,7,0,0
Democrat,1456,3,0,0
Democrat,959,4,0,0
Democrat,1873,3,0,0
Democrat,1285,9,0,0
Democrat,1653,6,0,0
Democrat,319,5,0,0
Democrat,1,10,0,0
Democrat,1369,9,0,0
Democrat,313,11,0,0
Democrat,1868,10,0,0
Republican,1,8,0,1
Republican,2081,5,0,1
Democrat,65,18,0,0
Democrat,686,6,0,0
Democrat,2260,5,0,0
Democrat,2297,11,0,0
Republican,112,9,0,1
Democrat,1204,5,0,0
Republican,739,7,0,1
Democrat,819,5,0,0
Democrat,780,3,0,0
Republican,1820,5,0,1
Democrat,2225,5,0,0
Republican,399,5,0,1
Democrat,167,6,0,0
Democrat,1889,17,0,0
Democrat,330,4,0,0
Republican,2174,18,0,1
Democrat,1,21,0,0
Republican,1331,9,0,1
Democrat,1158,6,0,0
Republican,1,3,0,1
Democrat,1,17,0,0
Democrat,1294,13,0,0
Republican,2165,9,0,1
Republican,649,9,0,1
Democrat,1,4,0,0
Republican,556,4,0,1
Republican,1329,11,0,1
Republican,1751,9,0,1
Republican,1,9,0,1
Democrat,1003,5,0,0
Democrat,452,5,0,0
Democrat,2058,7,0,0
Republican,1169,8,0,1
Republican,837,3,0,1
Republican,783,3,0,1
Democrat,702,5,0,0
Democrat,1,20,0,0
Democrat,127,4,0,0
Democrat,444,5,0,0
Republican,1267,3,0,1
Democrat,1343,21,0,0
Democrat,1860,5,0,0
Democrat,1073,8,0,0
Republican,48,3,0,1
Republican,1200,18,0,1
Democrat,869,9,0,0
Republican,2311,5,0,1
Republican,2126,11,0,1
Democrat,1745,11,0,0
Republican,35,9,0,1
Republican,352,9,0,1
Republican,543,9,0,1
Republican,1660,11,0,1
Democrat,1,7,0,0
Democrat,434,3,0,0
Republican,1826,5,0,1
Democrat,722,7,0,0
Democrat,14,6,0,0
Republican,250,5,0,1
Democrat,1096,10,0,0
Democrat,289,6,0,0
Republican,1013,9,0,1
Republican,1465,8,0,1
Democrat,365,8,0,0
Democrat,2040,21,0,0
Democrat,1529,9,0,0
Republican,533,17,0,1
Democrat,913,5,0,0
Democrat,1009,5,0,0
Republican,1848,10,0,1
Democrat,2176,6,0,0
Republican,1262,10,0,1
Republican,1766,11,0,1
Democrat,1,4,0,0
Democrat,230,3,0,0
Democrat,1642,5,0,0
Democrat,734,21,0,0
Republican,1,9,0,1
Republican,1949,12,0,1
Democrat,350,11,0,0
Republican,549,9,0,1
Republican,1457,9,0,1
Democrat,1,9,0,0
Democrat,613,7,0,0
Republican,529,5,0,1
Democrat,1679,5,0,0
Democrat,1292,5,0,0
Republican,1217,11,0,1
Republican,806,5,0,1
Democrat,1,5,0,0
Republican,1337,9,0,1
Republican,1035,6,0,1
Republican,1866,5,0,1
Republican,2149,9,0,1
Republican,1087,7,0,1
Republican,1339,9,0,1
Republican,333,6,0,1
Democrat,1829,5,0,0
Democrat,76,8,0,0
Republican,257,14,0,1
Republican,821,8,0,1
Republican,768,8,0,1
Republican,28,9,0,1
Republican,1687,8,0,1
Republican,1837,5,0,1
Republican,501,10,0,1
Democrat,2072,5,0,0
Republican,1136,6,0,1
Democrat,199,6,0,0
Republican,1,3,0,1
Republican,51,7,0,1
Republican,1988,6,0,1
Democrat,1995,5,0,0
Republican,1237,9,0,1
Democrat,1129,11,0,0
Democrat,1583,6,0,0
Democrat,229,5,0,0
Republican,1917,14,0,1
Republican,1,14,0,1
Republican,485,9,0,1
Republican,2009,9,0,1
Democrat,1816,5,0,0
Democrat,262,7,0,0
Republican,1629,7,0,1
Democrat,938,5,0,0
Democrat,1,13,0,0
Republican,1,5,0,1
Democrat,1991,9,0,0
Democrat,2186,6,0,0
Democrat,1082,5,0,0
Republican,1215,3,0,1
Republican,742,5,0,1
Democrat,2133,20,0,0
Democrat,695,12,0,0
Democrat,811,7,0,0
Republican,1278,14,0,1
Republican,1327,14,0,1
Democrat,1,21,0,0
Democrat,1,7,0,0
Democrat,1392,7,0,0
Democrat,1675,5,0,0
Republican,1898,20,0,1
Democrat,1,5,0,0
Democrat,922,5,0,0
Democrat,1227,5,0,0
Democrat,1506,9,0,0
Republican,1742,9,0,1
Democrat,1,5,0,0
Democrat,965,6,0,0
Democrat,1,5,0,0
Republican,1149,6,0,1
Republican,563,10,0,1
Democrat,714,5,0,0
Democrat,1109,3,0,0
Republican,2079,8,0,1
Republican,1172,5,0,1
Republican,2057,12,0,1
Democrat,937,20,0,0
Republican,5,5,0,1
Republican,1228,7,0,1
Republican,1598,5,0,1
Democrat,1739,4,0,0
Democrat,2143,11,0,0
Democrat,2136,7,0,0
Democrat,446,8,0,0
Democrat,478,7,0,0
Democrat,1790,19,0,0
Democrat,92,18,0,0
Republican,1367,9,0,1
Republican,531,14,0,1
Republican,904,6,0,1
Democrat,679,6,0,0
Democrat,861,5,0,0
Republican,1785,9,0,1
Republican,1,20,0,1
Democrat,873,9,0,0
Republican,848,14,0,1
Democrat,1069,5,0,0
Republican,1929,7,0,1
Democrat,1428,11,0,0
Republican,1023,7,0,1
Democrat,2073,17,0,0
Republican,1999,9,0,1
Republican,1098,9,0,1
Republican,1300,7,0,1
Democrat,1630,4,0,0
Republican,1152,9,0,1
Democrat,1840,6,0,0
Republican,410,5,0,1
Republican,736,5,0,1
Republican,2270,4,0,1
Democrat,146,5,0,0
Democrat,2171,5,0,0
Democrat,1,1,0,0
Republican,548,5,0,1
Democrat,1162,11,0,0
Democrat,2293,5,0,0
Democrat,159,6,0,0
Democrat,2042,5,0,0
Republican,1600,7,0,1
Republican,513,6,0,1
Republican,864,10,0,1
Republican,593,11,0,1
Republican,1561,11,0,1
Democrat,9,10,0,0
Democrat,1857,5,0,0
Democrat,2075,7,0,0
Republican,953,12,0,1
Republican,61,8,0,1
Democrat,2286,10,0,0
Republican,2191,6,0,1
Republican,1869,17,0,1
Democrat,411,7,0,0
Democrat,992,5,0,0
Republican,71,8,0,1
Republican,1246,9,0,1
Republican,360,9,0,1
Democrat,456,5,0,0
Republican,2313,7,0,1
Democrat,643,11,0,0
Republican,239,11,0,1
Republican,1,9,0,1
Democrat,970,7,0,0
Democrat,1931,7,0,0
Democrat,1887,3,0,0
Democrat,1212,8,0,0
Democrat,419,7,0,0
Republican,2290,6,0,1
Democrat,1556,5,0,0
Republican,1288,9,0,1
Republican,1,5,0,1
Democrat,99,6,0,0
Democrat,1,5,0,0
Republican,1560,7,0,1
Democrat,368,4,0,0
Democrat,565,3,0,0
Republican,1,7,0,1
Democrat,2053,6,0,0
Republican,247,5,0,1
Democrat,1311,8,0,0
Democrat,1,4,0,0
Republican,1178,7,0,1
Democrat,58,3,0,0
Democrat,2084,5,0,0
Democrat,222,5,0,0
Democrat,894,5,0,0
Republican,2251,7,0,1
Democrat,1159,7,0,0
Republican,1365,9,0,1
Democrat,2203,18,0,0
Democrat,1780,18,0,0
Democrat,1439,5,0,0
Republican,125,9,0,1
Democrat,268,4,0,0
Democrat,1350,8,0,0
Republican,608,5,0,1
Democrat,1198,5,0,0
Democrat,1,5,0,0
Republican,916,7,0,1
Republican,1,8,0,1
Republican,320,5,0,1
Republican,1310,5,0,1
Republican,1,5,0,1
Democrat,1401,4,0,0
Democrat,429,5,0,0
Democrat,1905,5,0,0
Democrat,1450,7,0,0
Democrat,1822,5,0,0
Democrat,1,10,0,0
Republican,614,9,0,1
Republican,297,7,0,1
Republican,1733,9,0,1
Republican,209,7,0,1
Republican,218,14,0,1
Republican,2007,11,0,1
Republican,1076,5,0,1
Democrat,1167,7,0,0
Republican,1750,7,0,1
Republican,498,9,0,1
Republican,396,5,0,1
Republican,1081,5,0,1
Republican,945,5,0,1
Democrat,2269,5,0,0
Democrat,1,5,0,0
Democrat,291,5,0,0
Democrat,357,5,0,0
Republican,1418,20,0,1
