residents,bed,bath,x,y
3,4,3,7201.6,6752.56
2,2,1,7079.68,6622.32
4,2,1,7154.4,6683.28
2,1,2,7093.44,6680.56
1,2,2,7198.72,6674.96
0,2,1,7101.76,6655.6
3,2,1,7157.28,6652.72
,3,5,7088,6749.84
3,2,1,7160,6525.36
1,1,1,7201.6,6627.76
1,1,1,7035.36,6638.96
1,1,1,7162.72,6724.88
2,1,1,7129.44,6625.04
3,2,1,7259.84,6633.36
2,1,1,7193.28,6572.4
1,3,1,7279.2,6683.28
1,1,1,7196,6705.36
2,1,1,7063.04,6708.24
0,2,1,7148.96,6669.36
2,2,2,7110.08,6641.68
2,1,1,7165.6,6572.4
2,3,6,7268,6578
0,1,1,7218.24,6741.52
,3,1,7168.32,6650
3,2,5,7046.4,6608.4
1,2,5,7085.12,6630.64
5,4,2,7110.08,6655.6
1,1,1,7129.44,6697.04
2,2,1,7182.24,6614
,3,1,7135.04,6705.36
,2,2,7281.92,6611.28
2,3,2,7162.72,6519.76
1,1,2,7173.92,6591.76
4,3,3,7135.04,6530.8
3,2,2,7251.52,6702.64
1,1,2,7104.64,6558.48
2,3,4,7259.84,6578
2,2,4,7268,6702.64
,5,4,7146.08,6763.6
3,2,1,7215.36,6708.24
1,1,1,7115.68,6683.28
1,1,1,7184.96,6716.56
2,2,2,7254.24,6575.12
,2,2,7140.64,6522.48
,3,2,7245.92,6561.36
1,1,1,7076.8,6652.72
,2,1,7256.96,6605.68
3,2,2,7096.32,6536.4
2,2,2,7112.96,6627.76
2,4,3,7251.52,6719.28
1,1,2,7265.28,6652.72
0,1,1,7240.32,6666.64
0,2,2,7215.36,6705.36
1,1,1,7232,6616.72
1,2,1,7038.08,6647.28
,1,2,7151.68,6774.64
2,2,1,7027.04,6652.72
1,1,1,7060.16,6630.64
,2,3,7254.24,6713.68
,2,1,7179.36,6533.68
1,2,2,7262.56,6580.72
2,1,2,7032.48,6619.44
,3,3,7265.28,6627.76
,4,5,7259.84,6566.8
4,3,2,7234.88,6677.68
6,5,4,7085.12,6586.32
4,3,2,7190.56,6583.44
0,1,2,7232,6708.24
1,2,1,7118.4,6677.68
1,1,2,7057.44,6710.96
1,2,1,7284.64,6641.68
1,1,1,7118.4,6575.12
,2,2,7173.92,6605.68
,1,3,7132.32,6547.44
,1,1,7107.36,6744.24
,4,3,7079.68,6713.68
3,3,2,7115.68,6536.4
3,3,2,7234.88,6735.92
1,1,1,7079.68,6589.04
1,1,1,7168.32,6561.36
,2,1,7168.32,6547.44
1,2,2,7215.36,6674.96
,2,3,7032.48,6647.28
3,2,2,7287.52,6683.28
4,3,2,7196,6597.36
4,2,2,7276.32,6694.32
