slength,pwidth,target
5.1,0.2,0
4.9,0.2,0
4.7,0.2,0
4.6,0.2,0
5,0.2,0
5.4,0.4,0
4.6,0.3,0
5,0.2,0
4.4,0.2,0
4.9,0.1,0
5.4,0.2,0
4.8,0.2,0
4.8,0.1,0
4.3,0.1,0
5.8,0.2,0
5.7,0.4,0
5.4,0.4,0
5.1,0.3,0
5.7,0.3,0
5.1,0.3,0
5.4,0.2,0
5.1,0.4,0
4.6,0.2,0
5.1,0.5,0
4.8,0.2,0
5,0.2,0
5,0.4,0
5.2,0.2,0
5.2,0.2,0
4.7,0.2,0
4.8,0.2,0
5.4,0.4,0
5.2,0.1,0
5.5,0.2,0
4.9,0.1,0
5,0.2,0
5.5,0.2,0
4.9,0.1,0
4.4,0.2,0
5.1,0.2,0
5,0.3,0
4.5,0.3,0
4.4,0.2,0
5,0.6,0
5.1,0.4,0
4.8,0.3,0
5.1,0.2,0
4.6,0.2,0
5.3,0.2,0
5,0.2,0
7,1.4,1
6.4,1.5,1
6.9,1.5,1
5.5,1.3,1
6.5,1.5,1
5.7,1.3,1
6.3,1.6,1
4.9,1,1
6.6,1.3,1
5.2,1.4,1
5,1,1
5.9,1.5,1
6,1,1
6.1,1.4,1
5.6,1.3,1
6.7,1.4,1
5.6,1.5,1
5.8,1,1
6.2,1.5,1
5.6,1.1,1
5.9,1.8,1
6.1,1.3,1
6.3,1.5,1
6.1,1.2,1
6.4,1.3,1
6.6,1.4,1
6.8,1.4,1
6.7,1.7,1
6,1.5,1
5.7,1,1
5.5,1.1,1
5.5,1,1
5.8,1.2,1
6,1.6,1
5.4,1.5,1
6,1.6,1
6.7,1.5,1
6.3,1.3,1
5.6,1.3,1
5.5,1.3,1
5.5,1.2,1
6.1,1.4,1
5.8,1.2,1
5,1,1
5.6,1.3,1
5.7,1.2,1
5.7,1.3,1
6.2,1.3,1
5.1,1.1,1
5.7,1.3,1
6.3,2.5,2
5.8,1.9,2
7.1,2.1,2
6.3,1.8,2
6.5,2.2,2
7.6,2.1,2
4.9,1.7,2
7.3,1.8,2
6.7,1.8,2
7.2,2.5,2
6.5,2,2
6.4,1.9,2
6.8,2.1,2
5.7,2,2
5.8,2.4,2
6.4,2.3,2
6.5,1.8,2
7.7,2.2,2
7.7,2.3,2
6,1.5,2
6.9,2.3,2
5.6,2,2
7.7,2,2
6.3,1.8,2
6.7,2.1,2
7.2,1.8,2
6.2,1.8,2
6.1,1.8,2
6.4,2.1,2
7.2,1.6,2
7.4,1.9,2
7.9,2,2
6.4,2.2,2
6.3,1.5,2
6.1,1.4,2
7.7,2.3,2
6.3,2.4,2
6.4,1.8,2
6,1.8,2
6.9,2.1,2
6.7,2.4,2
6.9,2.3,2
5.8,1.9,2
6.8,2.3,2
6.7,2.5,2
6.7,2.3,2
6.3,1.9,2
6.5,2,2
6.2,2.3,2
5.9,1.8,2
