,season,month,holiday,day_of_week,workingday,weather,temp,atemp,humidity,windspeed,count
0,2.0,5.0,0.0,2.0,1.0,2.0,24.0,26.0,76.5833,0.11816700000000001,6073.0
1,4.0,12.0,0.0,2.0,1.0,1.0,15.0,19.0,73.375,0.174129,6606.0
2,2.0,6.0,0.0,4.0,1.0,1.0,26.0,28.0,56.958299999999994,0.253733,7363.0
3,4.0,12.0,0.0,0.0,0.0,1.0,0.0,4.0,58.62500000000001,0.16977899999999999,2431.0
4,3.0,9.0,0.0,3.0,1.0,3.0,23.0,23.0,91.7083,0.09702100000000001,1996.0
5,2.0,5.0,0.0,2.0,1.0,2.0,24.0,26.0,69.7083,0.342667,4451.0
6,4.0,11.0,0.0,4.0,1.0,1.0,7.0,11.0,33.3478,0.347835,5315.0
7,2.0,6.0,0.0,2.0,1.0,1.0,23.0,26.0,50.708299999999994,0.269283,4891.0
8,3.0,9.0,0.0,6.0,0.0,1.0,23.0,26.0,50.1667,0.247521,8714.0
9,3.0,8.0,0.0,3.0,1.0,1.0,30.0,30.0,61.9583,0.169771,7347.0
10,3.0,8.0,0.0,0.0,0.0,2.0,26.0,27.0,84.5833,0.228858,5255.0
11,3.0,8.0,0.0,0.0,0.0,1.0,30.0,30.0,56.1765,0.304659,4334.0
12,2.0,3.0,0.0,5.0,1.0,1.0,2.0,5.0,49.5,0.230725,2210.0
13,2.0,5.0,0.0,4.0,1.0,1.0,22.0,25.0,52.0,0.229475,7384.0
14,4.0,10.0,0.0,0.0,0.0,1.0,12.0,16.0,74.125,0.099513,4381.0
15,3.0,9.0,0.0,0.0,0.0,1.0,23.0,25.0,54.75,0.224496,8227.0
16,1.0,3.0,0.0,6.0,0.0,1.0,6.0,10.0,59.458299999999994,0.220775,2132.0
17,3.0,9.0,0.0,2.0,1.0,1.0,21.0,24.0,52.0,0.092054,7767.0
18,1.0,3.0,0.0,5.0,1.0,2.0,11.0,14.0,40.708299999999994,0.4148,4569.0
19,2.0,4.0,0.0,6.0,0.0,2.0,7.0,11.0,87.75,0.13308299999999998,2455.0
20,4.0,11.0,0.0,3.0,1.0,1.0,7.0,12.0,61.375,0.103246,5146.0
21,4.0,11.0,0.0,0.0,0.0,1.0,6.0,10.0,53.2917,0.179108,5107.0
22,1.0,12.0,1.0,1.0,0.0,1.0,5.0,9.0,50.6957,0.239465,1317.0
23,1.0,1.0,0.0,1.0,1.0,2.0,-4.0,1.0,60.375,0.187192,1501.0
24,4.0,12.0,0.0,3.0,1.0,3.0,11.0,14.0,97.04169999999999,0.266175,705.0
25,1.0,3.0,0.0,1.0,1.0,1.0,14.0,18.0,48.9167,0.207713,5298.0
26,2.0,4.0,0.0,2.0,1.0,2.0,11.0,14.0,64.2083,0.388067,1795.0
27,2.0,5.0,0.0,0.0,0.0,1.0,18.0,22.0,63.1667,0.074637,4333.0
28,3.0,9.0,1.0,1.0,0.0,1.0,30.0,31.0,79.0833,0.151121,6034.0
29,1.0,1.0,0.0,0.0,0.0,2.0,8.0,11.0,69.6087,0.24853899999999998,801.0
30,2.0,5.0,0.0,0.0,0.0,1.0,24.0,26.0,57.62500000000001,0.225117,6118.0
31,1.0,1.0,0.0,5.0,1.0,2.0,-2.0,3.0,79.30430000000001,0.1233,1167.0
32,2.0,3.0,0.0,4.0,1.0,3.0,2.0,5.0,91.8333,0.217646,1685.0
33,4.0,11.0,0.0,6.0,0.0,1.0,6.0,9.0,51.916700000000006,0.18906199999999998,3926.0
34,1.0,3.0,0.0,2.0,1.0,2.0,5.0,9.0,65.5652,0.184309,2056.0
35,3.0,7.0,1.0,1.0,0.0,2.0,31.0,31.0,63.7917,0.081479,6043.0
36,4.0,12.0,0.0,1.0,1.0,2.0,12.0,16.0,92.5,0.190308,5170.0
37,3.0,6.0,0.0,2.0,1.0,2.0,28.0,29.0,77.0417,0.171025,4835.0
38,1.0,2.0,0.0,3.0,1.0,1.0,10.0,14.0,56.7917,0.234471,4773.0
39,3.0,8.0,0.0,1.0,1.0,1.0,27.0,28.0,71.20830000000001,0.208954,4338.0
40,3.0,8.0,0.0,3.0,1.0,1.0,30.0,31.0,67.75,0.141179,7580.0
41,3.0,7.0,0.0,5.0,1.0,1.0,37.0,36.0,45.0833,0.146142,6207.0
42,3.0,8.0,0.0,4.0,1.0,1.0,30.0,30.0,59.0417,0.07711699999999999,7713.0
43,2.0,4.0,0.0,6.0,0.0,2.0,5.0,9.0,65.375,0.19714600000000002,2252.0
44,3.0,9.0,0.0,2.0,1.0,2.0,24.0,25.0,87.25,0.357587,4073.0
45,1.0,1.0,0.0,5.0,1.0,1.0,6.0,10.0,54.2083,0.167908,4098.0
46,4.0,9.0,0.0,0.0,0.0,1.0,18.0,22.0,46.708299999999994,0.22325799999999998,7907.0
